"id","name","image","modified","year","trend","updated_by_id"
"32","Хорошо","images/albums/image_Jc1s9dC.jpg","28/8/2023 07:11:53.-1f+00","2015","f","1"
"1236","Blackout (Deluxe Edition)","images/albums/image_DI6IGO9.jpg","20/12/2023 06:03:42.-1f+00","2007","f","24"
"1246","Азбука любви","images/albums/image_e0eGQKT.jpg","20/12/2023 06:53:56.-1f+00","1999","f","23"
"5","Desert Eagle","images/albums/image_ZifBITO.jpg","15/11/2023 18:31:30.-1f+00","2021","f","22"
"459","Music","images/albums/image_qgdEU8S.jpg","22/11/2023 06:28:41.-1f+00","2000","f","24"
"6","Попроси у облаков","images/albums/image_pYrdINW.jpg","22/8/2023 16:22:17.-1f+00","2007","f","1"
"7","Континенты","images/albums/image_8fSoVcb.jpg","23/8/2023 04:54:30.-1f+00","2013","f","1"
"8","Пирожок","images/albums/image_EaDwcCL.jpg","23/8/2023 06:03:01.-1f+00","2001","f","1"
"9","Неизданное","images/albums/image_J1SH1YQ.jpg","23/11/2023 11:44:50.-1f+00","2002","f","1"
"10","Ха-ра-шо!","images/albums/image_WPS5OPK.jpg","23/8/2023 07:15:02.-1f+00","2003","f","1"
"11","Ты в сердце","images/albums/image_Uoobca2.jpg","23/8/2023 07:39:35.-1f+00","2008","f","1"
"12","Баста 5 (Часть 1)","images/albums/image_SVu32AY.jpg","23/8/2023 08:09:57.-1f+00","2016","f","1"
"13","Людимаяки","images/albums/image_cJwG9nS.jpg","23/8/2023 09:00:06.-1f+00","2020","f","1"
"14","Неба не боялись","images/albums/image_m4Z3sO7.jpg","23/8/2023 09:15:43.-1f+00","2018","f","1"
"15","Что Такое Любовь","images/albums/image_SDD4aSm.jpg","23/8/2023 11:01:12.-1f+00","2020","f","1"
"16","Лазарев","images/albums/image_MbkJUVl.jpg","23/8/2023 11:55:27.-1f+00","2012","f","1"
"17","#ре#ля","images/albums/image_8kzMTIv.jpg","23/8/2023 13:06:51.-1f+00","2021","f","1"
"18","По серпантину","images/albums/image_FlLmn6u.jpg","23/8/2023 13:37:26.-1f+00","2013","f","1"
"19","Транс-ФОРМА","images/albums/image_yyvJwWJ.jpg","23/8/2023 15:36:05.-1f+00","2011","f","1"
"20","Пепел Любви","images/albums/image_qcxgWmZ.jpg","24/8/2023 11:29:52.-1f+00","1994","f","1"
"21","Я жива","images/albums/image_BJWKc6A.jpg","24/8/2023 12:13:09.-1f+00","2021","f","1"
"22","Волны","images/albums/image_Jr8rv0r.jpg","24/8/2023 12:30:17.-1f+00","2010","f","1"
