"id","name","image","modified","updated_by_id","listened_count"
"31","А-Студио","images/artists/image_n1LlbKL.jpg","11/9/2023 15:14:53.-1f+00","1","0"
"32","Март Бабаян","images/artists/image_xiA5BmO.jpg","22/8/2023 07:22:10.-1f+00","1","0"
"33","Роксана Бабаян","images/artists/image_1g6ZZQZ.jpg","22/8/2023 07:23:53.-1f+00","1","0"
"34","Надежда Бабкина","images/artists/image_BTNIMjz.jpg","21/9/2023 09:12:08.-1f+00","1","0"
"8","Jah Khalib","images/artists/image_VblYE0x.jpg","19/8/2023 06:38:02.-1f+00","1","0"
"35","Андрей Бандера","images/artists/image_oQ00vod.jpg","14/9/2023 07:21:52.-1f+00","1","0"
"9","Artik & Asti","images/artists/image_NuW9rMg.jpg","19/8/2023 07:14:59.-1f+00","1","0"
"10","#2Маши","images/artists/image_c4SgOKO.jpg","20/8/2023 07:22:47.-1f+00","1","0"
"11","5sta Family","images/artists/image_iFtblgS.jpg","22/8/2023 06:11:37.-1f+00","1","0"
"36","Николай Басков","images/artists/image_OhYYCGI.jpg","22/8/2023 07:29:25.-1f+00","1","0"
"12","Bahh Tee","images/artists/image_dZzRtb1.jpg","23/11/2023 04:37:26.-1f+00","1","0"
"13","Burito","images/artists/image_VnWzcLd.jpg","22/8/2023 06:18:23.-1f+00","1","0"
"14","Dabro","images/artists/image_zwm8JYs.jpeg","21/12/2023 05:42:32.-1f+00","22","0"
"15","Feduk","images/artists/image_9DrCi1e.jpg","23/11/2023 04:34:09.-1f+00","1","0"
"16","Hi-Fi","images/artists/image_r2S3QtL.jpg","23/11/2023 05:04:00.-1f+00","1","0"
"37","Баста","images/artists/image_TRa6CcB.jpg","23/11/2023 05:08:54.-1f+00","1","0"
"38","Дима Билан","images/artists/image_W9db7xN.jpg","24/9/2023 06:55:43.-1f+00","1","0"
"17","SHIR","images/artists/image_90is0Up.jpg","23/11/2023 05:23:34.-1f+00","1","0"
"18","Therr Maitz","images/artists/image_bLUsNQx.jpg","23/11/2023 05:28:31.-1f+00","1","0"
"19","T-Killah","images/artists/image_qeKDhey.jpg","23/11/2023 05:31:13.-1f+00","1","0"
"20","Uma2rman","images/artists/image_6HGql7K.jpeg","9/12/2023 09:13:25.-1f+00","1","0"
"21","Авраам Руссо","images/artists/image_qHznl0T.jpg","23/11/2023 05:36:59.-1f+00","1","0"
"22","Emin","images/artists/screen-1.jpg","9/1/2024 06:18:12.-1f+00","1","0"
"23","Леонид Агутин","images/artists/image_WvpxJJe.jpeg","22/9/2023 08:06:17.-1f+00","1","0"
"24","Адалят Шукюров","images/artists/image_sR09dHw.jpg","23/11/2023 05:58:56.-1f+00","1","0"
"25","IOWA","images/artists/image_mFZlTMc.jpg","23/11/2023 06:02:56.-1f+00","1","0"
"26","Ирина Аллегрова","images/artists/image_k3MuoCg.jpg","27/11/2023 08:54:38.-1f+00","1","0"
"27","Алсу","images/artists/image_59lLDYk.jpg","14/9/2023 08:13:27.-1f+00","1","0"
"28","Ани Лорак","images/artists/image_yj3QExO.jpg","1/9/2023 08:56:04.-1f+00","1","0"
"29","Ольга Арефьева","images/artists/image_eThKGPS.jpg","20/9/2023 07:57:29.-1f+00","1","0"
"30","Арсен Шахунц","images/artists/image_lp1hfyv.jpg","23/11/2023 06:07:13.-1f+00","1","0"
"39","Бока","images/artists/image_m8FxUSh.jpg","23/11/2023 06:27:38.-1f+00","1","0"
"40","Борис Гребенщиков","images/artists/image_lFSxb4h.jpg","23/11/2023 06:31:32.-1f+00","1","0"
"41","Михаил Боярский","images/artists/image_8LouoAP.jpg","22/9/2023 04:51:30.-1f+00","1","0"
"42","Братья Шахунц","images/artists/image_dMXWWqs.jpg","23/11/2023 06:34:41.-1f+00","1","0"
"43","Нани Брегвадзе","images/artists/image_6FlOVAm.jpg","21/9/2023 08:35:55.-1f+00","1","0"
"44","Вера Брежнева","images/artists/image_qstQCX5.jpg","22/8/2023 07:45:36.-1f+00","1","0"
"46","Михаил Бублик","images/artists/image_EuYg31T.jpg","21/9/2023 11:49:52.-1f+00","1","0"
"47","Методие Бужор","images/artists/image_FL9xUyX.jpg","23/11/2023 10:33:56.-1f+00","1","0"
"48","Ольга Бузова","images/artists/image_LOVtHT0.jpg","22/8/2023 08:02:09.-1f+00","1","0"
"49","Александр Буйнов","images/artists/image_jaAxG7O.jpg","23/11/2023 10:38:44.-1f+00","1","0"
"50","Бурановские бабушки","images/artists/image_frn974g.jpg","23/11/2023 10:53:53.-1f+00","1","0"
"51","Интарс Бусулис","images/artists/image_RBeyDq2.jpg","23/11/2023 10:56:30.-1f+00","1","0"
