"id","name_tm","name_ru","image","modified","updated_by_id"
"31","Great Britain","Великобритания","images/countries/image_hCyr4j9.jpeg","19/9/2023 14:18:52.-1f+00","1"
"32","Hungary","Венгрия","images/countries/image_j1Y396K.jpeg","19/9/2023 14:25:42.-1f+00","1"
"33","Venezuela","Венесуэла","images/countries/image_bbIfs4d.jpeg","19/9/2023 14:26:22.-1f+00","1"
"34","Vietnam","Вьетнам","images/countries/image_x1KyTSZ.jpeg","20/9/2023 03:53:10.-1f+00","1"
"7","USA","США","images/countries/image_Mdt9Aq9.jpeg","20/9/2023 03:56:42.-1f+00","1"
"8","Kazakhstan","Казахстан","images/countries/image_sYRhaBh.jpeg","20/9/2023 03:57:24.-1f+00","1"
"9","Ukraine","Украина","images/countries/image_vbevhrA.jpeg","20/9/2023 03:58:06.-1f+00","1"
"10","Australia","Австралия","images/countries/image_lznuPAw.jpeg","20/9/2023 03:58:46.-1f+00","1"
"11","Austria","Австрия","images/countries/image_H3b501v.jpeg","20/9/2023 03:59:20.-1f+00","1"
"12","Azerbaijan","Азербайджан","images/countries/image_zhKifK8.jpeg","20/9/2023 04:00:12.-1f+00","1"
"13","Albania","Албания","images/countries/image_VG8B963.jpeg","20/9/2023 04:00:47.-1f+00","1"
"14","Algeria","Алжир","images/countries/image_boX47fZ.jpeg","20/9/2023 04:01:29.-1f+00","1"
"15","Angola","Ангола","images/countries/image_7TlV3pa.jpeg","20/9/2023 04:01:59.-1f+00","1"
"16","Andorra","Андорра","images/countries/image_Lhh0yzc.jpeg","20/9/2023 04:02:35.-1f+00","1"
"17","Argentina","Аргентина","images/countries/image_vhmwcLz.jpeg","20/9/2023 04:03:03.-1f+00","1"
"18","Armenia","Армения","images/countries/image_luyVitA.jpeg","20/9/2023 04:03:39.-1f+00","1"
"20","Bangladesh","Бангладеш","images/countries/image_O98CKcC.jpeg","20/9/2023 04:04:38.-1f+00","1"
"21","Barbados","Барбадос","images/countries/image_XuNZqp4.jpeg","20/9/2023 04:05:02.-1f+00","1"
"22","Bahrain","Бахрейн","images/countries/image_lN5BKcf.jpeg","20/9/2023 04:05:28.-1f+00","1"
"23","Belarus","Белоруссия","images/countries/image_EXbwSbE.jpeg","20/9/2023 04:06:10.-1f+00","1"
"24","Belize","Белиз","images/countries/image_gylw3qb.jpeg","20/9/2023 04:06:52.-1f+00","1"
"25","Belgium","Бельгия","images/countries/image_whKk0kd.jpeg","20/9/2023 04:07:24.-1f+00","1"
"26","Benin","Бенин","images/countries/image_qF0bPhI.jpg","19/8/2023 07:59:50.-1f+00","1"
"27","Bulgaria","Болгария","images/countries/image_Mx0gsrc.jpeg","20/9/2023 04:07:54.-1f+00","1"
