"id","name","image","modified","hit","audio","album_id","updated_by_id","listened_count"
"1253","А завтра что же, как же","images/songs/song_scover_ntOdFzZ.jpeg","4/1/2024 22:34:16.-1f+00","f","audio/songs/19._А_завтра_что_же_как_же.mp3","98","1","3"
"1256","Ателье ремонт надежды","images/songs/song_scover_Rm37pKY.jpeg","10/9/2023 14:52:51.-1f+00","f","audio/songs/22._Ателье_ремонт_надежды.mp3","98","1","1"
"22","Знали и потеряли","images/songs/image_q6ZqzSh.jpg","23/8/2023 05:33:15.-1f+00","f","audio/songs/10._Знали_и_потеряли.mp3","7","1","1"
"7032","I Never Thought I'd See the Day","images/songs/song_scover_ElIvMgF.jpeg","27/11/2023 04:03:38.-1f+00","f","audio/songs/09._I_Never_Thought_Id_See_The_Day.mp3","523","24","1"
"21","Бархатные глаза","images/songs/image_smEWP52.jpg","26/8/2023 00:30:19.-1f+00","f","audio/songs/09._Бархатные_глаза.mp3","7","1","6"
"10","МамаМия","images/songs/image_2d3s59z.jpg","24/8/2023 09:52:42.-1f+00","f","audio/songs/02_-_Jah_Khalib_-_МамаМия_ft._Artik__Asti_wQKad25.mp3","5","1","1"
"23","Благодарю тебя","images/songs/image_Z1AZP8r.jpg","23/8/2023 05:34:24.-1f+00","f","audio/songs/11._Благодарю_тебя.mp3","7","1","1"
"11","Desert Eagle","images/songs/image_E9UZ6Nk.jpg","19/8/2023 07:07:05.-1f+00","f","audio/songs/03_-_Jah_Khalib_-_Desert_Eagle.mp3","5","1","1"
"12","Я твоя","images/songs/image_HhUQ7mu.jpg","22/8/2023 16:27:53.-1f+00","f","audio/songs/01._Я_твоя.mp3","6","1","1"
"13","Континенты","images/songs/image_EYK1jtm.jpg","23/8/2023 04:58:30.-1f+00","f","audio/songs/01._Континенты.mp3","7","1","1"
"14","Игра в любовь","images/songs/image_Dg2M2Ai.jpg","23/8/2023 05:02:43.-1f+00","f","audio/songs/02._Игра_в_любовь.mp3","7","1","1"
"15","Обнимаю","images/songs/image_QrjMw99.jpg","23/8/2023 05:21:56.-1f+00","f","audio/songs/03._Обнимаю.mp3","7","1","1"
"16","Ты задержись","images/songs/image_u2F3Y4M.jpg","23/8/2023 05:24:54.-1f+00","f","audio/songs/04._Ты_задержись.mp3","7","1","1"
"17","Твои следы","images/songs/image_l4WrgY4.jpg","23/8/2023 05:26:33.-1f+00","f","audio/songs/05._Твои_следы.mp3","7","1","1"
"18","Не грусти","images/songs/image_aaTXjFy.jpg","23/8/2023 05:27:59.-1f+00","f","audio/songs/06._Не_грусти.mp3","7","1","1"
"19","Мамина любовь","images/songs/image_T1kQe4E.jpg","23/8/2023 05:29:29.-1f+00","f","audio/songs/07._Мамина_любовь.mp3","7","1","1"
"20","Исписалась любовь","images/songs/image_AcwS4qT.jpg","23/8/2023 05:30:43.-1f+00","f","audio/songs/08._Исписалась_любовь.mp3","7","1","1"
"24","Обнимаю (version 2)","images/songs/image_xgC5fR5.jpg","23/8/2023 05:36:04.-1f+00","f","audio/songs/12._Обнимаю_version_2.mp3","7","1","1"
"32","Гоп-гоп","images/songs/image_OwXDT6O.jpg","23/8/2023 06:37:05.-1f+00","f","audio/songs/01._Гоп-гоп.mp3","9","1","1"
"25","Люта бджілка","images/songs/image_ovrDB0C.jpg","23/8/2023 06:15:57.-1f+00","f","audio/songs/01._Люта_бджілка_original_version_IZxGNN8.mp3","8","1","1"
"26","Пирожок","images/songs/image_MeqGyJw.jpg","23/8/2023 06:17:38.-1f+00","f","audio/songs/02._Пирожок_original_version.mp3","8","1","1"
"27","Ты уволен","images/songs/image_ZU7Q5s0.jpg","23/8/2023 06:18:51.-1f+00","f","audio/songs/03._Ты_уволен_original_version.mp3","8","1","1"
"29","Пирожок (piano version, live sound)","images/songs/image_WkmmZvA.jpg","23/8/2023 06:24:06.-1f+00","f","audio/songs/05._Пирожок_piano_version_live_sound.mp3","8","1","1"
"33","Я рождена для любви","images/songs/image_ARlwLth.jpg","23/8/2023 06:38:30.-1f+00","f","audio/songs/02._Я_рождена_для_любви.mp3","9","1","1"
"28","Люта бджілка (piano version, live sound)","images/songs/image_qGrtoFR.jpg","23/8/2023 06:25:47.-1f+00","f","audio/songs/04._Люта_бджілка_piano_version_live_sound_WizyT7z.mp3","8","1","1"
"30","Ты уволен (piano version, live sound)","images/songs/image_R9Piam3.jpg","23/8/2023 06:27:07.-1f+00","f","audio/songs/06._Ты_уволен_piano_version_live_sound.mp3","8","1","1"
"31","Пирожок (RMX by CJ Некрасов)","images/songs/image_cIJzDCi.jpg","23/8/2023 06:28:36.-1f+00","f","audio/songs/07._Пирожок_RMX_by_CJ_Некрасов.mp3","8","1","1"
"34","Пирожок","images/songs/image_hpnaEYQ.jpg","23/8/2023 06:39:49.-1f+00","f","audio/songs/03._Пирожок.mp3","9","1","1"
"35","Девочки","images/songs/image_lBK69Fj.jpg","23/8/2023 06:40:49.-1f+00","f","audio/songs/04._Девочки.mp3","9","1","1"
"36","Ты уволен","images/songs/image_4VJHRvy.jpg","23/8/2023 06:41:46.-1f+00","f","audio/songs/05._Ты_уволен.mp3","9","1","1"
"37","Ваза и пион","images/songs/image_Mmy3Wf7.jpg","23/8/2023 06:42:54.-1f+00","f","audio/songs/06._Ваза_и_пион.mp3","9","1","1"
"38","Солнце и Луна","images/songs/image_n0YBuZJ.jpg","23/8/2023 06:43:45.-1f+00","f","audio/songs/07._Солнце_и_Луна.mp3","9","1","1"
"39","А я у гай ходила","images/songs/image_VAr1Dyl.jpg","23/8/2023 06:45:15.-1f+00","f","audio/songs/08._А_я_у_гай_ходила.mp3","9","1","1"
"40","Люта бджілка","images/songs/image_9titceq.jpg","23/8/2023 06:46:12.-1f+00","f","audio/songs/09._Люта_бджілка.mp3","9","1","1"
"41","Абрикосы (концертная версия)","images/songs/image_OIJylmL.jpg","23/8/2023 07:07:29.-1f+00","f","audio/songs/10._Абрикосы_концертна_версія_VkglJOw.mp3","9","1","1"
"42","Контролер","images/songs/image_TDGgxxB.jpg","23/8/2023 06:50:43.-1f+00","f","audio/songs/01._Контролер.mp3","9","1","1"
"43","А метель метет белая","images/songs/image_U2I358z.jpg","23/8/2023 06:52:00.-1f+00","f","audio/songs/02._А_метель_метет_белая.mp3","9","1","1"
"44","Вишенка (Я - Революція)","images/songs/image_JuNUhsk.jpg","23/8/2023 06:53:47.-1f+00","f","audio/songs/03._Вишенка_Я_-_Революція.mp3","9","1","1"
"45","Хера-махера (Титанік)","images/songs/image_n1N3JuA.jpg","23/8/2023 06:55:57.-1f+00","f","audio/songs/04._Хера-махера_Титанік.mp3","9","1","1"
"46","Я - Революция","images/songs/image_RvgT9Pb.jpg","23/8/2023 06:57:04.-1f+00","f","audio/songs/05._Я_-_Революция_Я_-_Революція.mp3","9","1","1"
"47","Вера+Миша","images/songs/image_YgepIpJ.jpg","23/8/2023 06:58:45.-1f+00","f","audio/songs/06._ВераМиша_Дует_з_М.Поплавським.mp3","9","1","1"
"48","Абрикосы (1-ша версія)","images/songs/image_TtIASrP.jpg","23/8/2023 07:01:37.-1f+00","f","audio/songs/07._Абрикосы_1-ша_версія.mp3","9","1","1"
"49","Я рождена для любви (1-ша версія)","images/songs/image_vNPk4Z6.jpg","23/8/2023 07:03:07.-1f+00","f","audio/songs/08._Я_рождена_для_любви_1-ша_версія.mp3","9","1","1"
"50","Люта бджілка (piano version. Live sound)","images/songs/image_m5A3s8J.jpg","23/8/2023 07:03:58.-1f+00","f","audio/songs/09._Люта_бджілка_piano_version._Live_sound.mp3","9","1","1"
"51","Ты уволен (piano version. Live sound)","images/songs/image_CLDTHp6.jpg","23/8/2023 07:05:14.-1f+00","f","audio/songs/10._Ты_уволен_piano_version._Live_sound.mp3","9","1","1"
"52","Все будет хорошо","images/songs/image_RLIogwe.jpg","23/8/2023 07:17:01.-1f+00","f","audio/songs/02._Все_будет_хорошо.mp3","10","1","1"
"53","А я только с мороза","images/songs/image_7y66xCe.jpg","23/8/2023 07:17:57.-1f+00","f","audio/songs/03._А_я_только_с_мороза.mp3","10","1","1"
"54","Горiлка","images/songs/image_moJZa3N.jpg","23/8/2023 07:18:56.-1f+00","f","audio/songs/04._Горiлка.mp3","10","1","1"
"55","Гоп-Гоп","images/songs/image_3jLu5ZZ.jpg","23/8/2023 07:20:23.-1f+00","f","audio/songs/05._Гоп-Гоп.mp3","10","1","1"
"56","Я не поняла","images/songs/image_4rAANhQ.jpg","23/8/2023 07:22:45.-1f+00","f","audio/songs/10._Я_не_поняла.mp3","10","1","1"
