"id","app","name","applied"
"1","contenttypes","0001_initial","27/7/2023 12:44:21.-1f+00"
"2","auth","0001_initial","27/7/2023 12:44:21.-1f+00"
"3","admin","0001_initial","27/7/2023 12:44:21.-1f+00"
"4","admin","0002_logentry_remove_auto_add","27/7/2023 12:44:21.-1f+00"
"5","admin","0003_logentry_add_action_flag_choices","27/7/2023 12:44:21.-1f+00"
"6","contenttypes","0002_remove_content_type_name","27/7/2023 12:44:21.-1f+00"
"7","auth","0002_alter_permission_name_max_length","27/7/2023 12:44:21.-1f+00"
"8","auth","0003_alter_user_email_max_length","27/7/2023 12:44:21.-1f+00"
"9","auth","0004_alter_user_username_opts","27/7/2023 12:44:21.-1f+00"
"10","auth","0005_alter_user_last_login_null","27/7/2023 12:44:21.-1f+00"
"11","auth","0006_require_contenttypes_0002","27/7/2023 12:44:21.-1f+00"
"12","auth","0007_alter_validators_add_error_messages","27/7/2023 12:44:21.-1f+00"
"13","auth","0008_alter_user_username_max_length","27/7/2023 12:44:21.-1f+00"
"14","auth","0009_alter_user_last_name_max_length","27/7/2023 12:44:21.-1f+00"
"15","auth","0010_alter_group_name_max_length","27/7/2023 12:44:21.-1f+00"
"16","auth","0011_update_proxy_permissions","27/7/2023 12:44:21.-1f+00"
"17","auth","0012_alter_user_first_name_max_length","27/7/2023 12:44:21.-1f+00"
"18","dashboard","0001_initial","27/7/2023 12:44:22.-1f+00"
"19","sessions","0001_initial","27/7/2023 12:44:22.-1f+00"
"20","dashboard","0002_remove_artist_artist_of_the_week_and_more","2/8/2023 11:59:38.-1f+00"
